id,category,color,description,signoff,x,y
Beginner Vertical Caver,Caving,#f4e04d,"Can prusik and abseil, must understand the fundamentals of vertical safety (points of safety), give a bottom belay, and demonstrate clear vertical communication (on rope, abseiling, abseil when ready).",Vertical Caver,165,448
Vertical Caver,Caving,#f4e04d,"Clear understanding and demonstration of changeovers, deviations, and rebelays, when and why they are used e.g., understanding of IRT vs alpine ropework. Demonstrated ability to teach basic caving concepts and skills including prusiking, abseiling, and fireman's belays.",Vertical Cave Leader,164,372
Canyoner,Canyoning,#4da6ff,"Understands and demonstrates entry level canyoning techniques e.g., rope/bag management, whistle communication, friction control, water hazards, sharp edges, picking a line, how to clean common anchor setups like F8 releasables, throw and gos (double strand), and knot/biner blocks.",Canyon Leader,18,370
Canyon Leader,Canyoning,#4da6ff,"Similar to VCL, this signoff requires not only technical skills but also leadership, planning, and experience. Must be able to rig a variety of styles and techniques including double strand, knot/biner blocks, releasables, stone knots, joined ropes (EDK), rope bleeding, access lines, and conceptually understand when and where certain setups may be ideal. Has a solid understanding of canyon hazards and how to mitigate them for the group including but not limited to hypothermia, hydraulic hazards, rope abrasion, jumps, scrambling, anchor assessments and replacement. Highly regarded to have first aid quals.",Canyon Guide,19,136
Canyon Guide,Canyoning,#4da6ff,"Count of Canyons, Sovereign of the Slots, Duchess of the Drops, Wuler of the Waterfalls.
Demonstrates advanced canyoning skills and techniques, e.g., retrievables, guided abseils, ghosting, floating bags. Experienced in highly vertical and aquatic canyons, familiar and efficient with canyon rescue techniques. This signoff doesn't mean you have nothing more to learn, but that you've developed the skills, knowledge, and experience to teach any canyoning skills that NUCC engages in.",Canyon Guide,19,-4
Beginner Rigger,Rigging,#FFA500,"Can rig a simple vertical cave on bolts or high quality naturals including simple deviations, rebelays and belayed ladders, using knots covered in Knotcraft 1. Understands principles of backups, shockloading, equalisation, rope wear, edge protection. Also needs to demonstrate a basic understanding of cave navigation, gear planning, rope management.",Vertical Cave Leader,278,295
Knotcraft 1,Rigging,#FFA500,"Can tie and explain uses and some limitations of the following knots: F8 OTB, F9 OTB, overhand OTB, tape knot, barrel knot. Introduced to different equipment and materials e.g., nylon and polyester rope and tape, locking and snapgate krabs.",Beginner Rigger,279,494
Knotcraft 2,Rigging,#FFA500,"Demonstrates a more advanced understanding of the strengths and limitations of the basic knots covered in Knotcraft 1 as well as the following: F8 rethread, alpine butterfly, girth hitch, clove hitch, munter hitch, simple bowline and backups, tensionless hitch, BFK, BOTB, fusion knot, standard prusik. Additionally, familiarity and understanding of materials such as HMPE (Dyneema) and other modern fibres, and metal grades (e.g., 316 SS vs 304 SS vs zinc plated).",Vertical Cave Leader,277,229
Rescue 1,Rescue,#ff6f69,"Practical understanding of forces applied in caving, mechanical advantage, mechanical efficiency. Demonstrated ability to execute / rig and manage standard intra-party rescue or safety techniques (e.g., pickoff, counterbalance haul, 3:1 z-haul, improvised belay). Required to demonstrate some lateral thinking / problem solving ability to resolve situations out of the ordinary e.g., improvising in a situation without the ideal gear.",Rescue 2,378,190
Vertical Cave Leader,Caving,#f4e04d,"This level is more than an accumulation of skills, you must also model a set of leadership behaviours desirable by the club to safely and effectively lead people of all skill levels in vertical caves. This includes broader trip management, logistics (gear lists, carpooling, etc), navigation (on approach and in-cave), teaching, people skills (patience), and ability to effectively manage complex or stressful situations if they arise. Highly regarded to have first aid quals.",Caving Guide,165,136
Rescue 2,Rescue,#ff6f69,"Note: I don't think we currently do enough training to sign off Rescue 2, I hope that we can start running specific rescue sessions about once or twice a semester to build these skills.
Ability to conduct others and independently participate in group rescues including stretcher rescues, complex hauls, guided ascents / descents, high efficiency/advantage hauls (9:1), set up and maintain clear and efficient communication within rescue team. Advanced understanding of forces, gear ratings (WLL, MBS) in rescue scenarios. Highly regarded to have first aid quals and bolting experience.",Caving Guide,379,55
Caving Guide,Caving,#f4e04d,"AKA Queen of The Underworld, Goblin King, Mud Monarch, Ruler of the Rope, Prime Grimister.
This signoff doesn't mean you have nothing more to learn, but that you've developed the skills, knowledge, and experience to teach any caving skills that NUCC engages in.",Caving Guide,163,-8
Surveyor,Skills,#b2f7ef,"Inducted and demonstrated capacity to perform various cave survey roles (book, laser, point, sketch).",Surveyor,213,56
Bolter,Skills,#b2f7ef,"Solid theoretical understanding of anchor placement considerations, bolting hardware and techniques, ethical considerations, and forces. Practical knowledge of bolting methods, including at least two of the following: glueins, expansion bolts, concrete screws, removables (e.g., Coeur Pulse).",Caving Guide / Canyon Guide,95,56
Horizontal Cave Leader,Caving,#f4e04d,"Although this signoff has only one prereq, you must model a set of leadership behaviours desirable by the club to safely and effectively lead people of all skill levels in horizontal caves. This includes broader trip management, logistics (gear lists, carpooling, etc), navigation (on approach and in-cave), teaching, people skills (patience), and ability to effectively manage complex or stressful situations if they arise. Highly regarded to have first aid quals.",Caving Guide,394,448
NUCC Champion,Skills,#9b59b6,"Represents the pinnacle of NUCC proficiency across all disciplines. Demonstrates excellence in both caving and canyoning leadership, advanced technical competence, and mentorship of new members. Embodies the club’s spirit of safety, adventure, and inclusivity.",Executive Committee,91,-80
